route_id,direction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
R001,R,ALVA,PNCU,CPPY,ATTK,MUTT,KLMT,CCUV,PDPM,EDAP,CGPP,PARV,JLSD,KALR,LSSE,MGRD,MACE
R001,L,MACE,MGRD,LSSE,KALR,JLSD,PARV,CGPP,EDAP,PDPM,CCUV,KLMT,MUTT,ATTK,CPPY,PNCU,ALVA
