"Sr.","Direction","Stop Name Marathi","stop_name","stop_id","stop_lat","stop_lon","zone_id"
53,"Down","आनंदनगर सिंहगड रोड ","Anandnagar Sinhagad Road","ANSIR1",18.477646,73.823708,"ANSIR1"
54,"UP","अंध शाळा कोथरूड ","Andh Shala Kothrud","ANSHK2",18.496067,73.803298,"ANSHK2"
55,"Down","अंध शाळा कोथरूड ","Andh Shala Kothrud","ANSHK1",18.496169,73.803234,"ANSHK1"
56,"UP","अन्नपुर्णा","Annapurna","ANNAP2",18.662681,73.783607,"ANNAP2"
57,"Down","अन्नपुर्णा","Annapurna","ANNAP1",18.662681,73.783607,"ANNAP1"
58,"UP","आपोलो टॉकीज","Apollo Talkies","APLTA2",18.519584,73.864785,"APLTA2"
59,"Down","आपोलो टॉकीज","Apollo Talkies","APLTA1",18.519453,73.864623,"APLTA1"
60,"UP","अप्पा बळवंत चौक","Appa Balawant Chowk","APBAC2",18.514926,73.853746,"APBAC2"
61,"Down","अप्पा बळवंत चौक","Appa Balawant Chowk","APBAC1",18.516316,73.8531111,"APBAC1"
62,"UP","आपले हॉस्पिटल","Apple Hospital","APHOS2",18.588332,73.781379,"APHOS2"
63,"Down","आपले हॉस्पिटल","Apple Hospital","APHOS1",18.588616,73.781315,"APHOS1"
64,"UP","अप्सरा टॉकीज","Apsara Talkies","APTAL2",18.500386,73.869343,"APTAL2"
65,"Down","अप्सरा टॉकीज","Apsara Talkies","APTAL1",18.500137,73.869516,"APTAL1"
66,"UP","अरण्येश्वर कॉर्नर","Aranyeshwar Corner","ARCOR2",18.4864,73.8575,"ARCOR2"
67,"Down","अरण्येश्वर कॉर्नर","Aranyeshwar Corner","ARCOR1",18.4861362,73.8576003,"ARCOR1"
68,"UP","अर्सनल फॅक्टरी गेट","Arsenal Factory Gate","ARFAG2",18.57323337,73.858448,"ARFAG2"
69,"Down","अर्सनल फॅक्टरी गेट","Arsenal Factory Gate","ARFAG1",18.573341,73.858408,"ARFAG1"
70,"UP","आशिष गार्डन","Ashish Garden","ASGAR2",18.501968,73.802375,"ASGAR2"
71,"Down","आशिष गार्डन","Ashish Garden","ASGAR1",18.501968,73.802375,"ASGAR1"
72,"UP","अ‍ॅटलास कंपनी","Atlas Company","ATCOM2",18.618822,73.850344,"ATCOM2"
73,"Down","अ‍ॅटलास कंपनी","Atlas Company","ATCOM1",18.618639,73.849915,"ATCOM1"
74,"UP","औंध हॉस्पिटल","Aundh Hospital","AUHOS2",18.576739,73.803097,"AUHOS2"
75,"Down","औंध हॉस्पिटल","Aundh Hospital","AUHOS1",18.576896,73.803226,"AUHOS1"
76,"UP","औंध गांव","Aundhgaon","AUNDH2",18.565567,73.812186,"AUNDH2"
77,"Down","औंधगांव","Aundhgaon","AUNDH1",18.566517,73.812009,"AUNDH1"
78,"UP","बी यू भंडारी","B U Bhandari","BHAND2",18.682747,74.113803,"BHAND2"
79,"Down","बी यू भंडारी","B U Bhandari","BHAND1",18.682747,74.113803,"BHAND1"
80,"UP","बधाई स्वीट्स","Badhai Sweets","BASWE2",18.502143,73.805422,"BASWE2"
81,"Down","बधाई स्वीट्स","Badhai Sweets","BASWE1",18.501918,73.805116,"BASWE1"
82,"UP","बाफना इंडस्ट्री","Bafna Industries","BAIND2",18.647414,74.067821,"BAIND2"
83,"Down","बाफना इंडस्ट्री","Bafna Industries","BAIND1",18.647414,74.067821,"BAIND1"
84,"UP","बहिरटवाडी","Bahiratwadi","BAHIR2",18.53439,73.830071,"BAHIR2"
85,"Down","बहिरटवाडी","Bahiratwadi","BAHIR1",18.535762,73.830075,"BAHIR1"
86,"UP","बजाज ऑटो","Bajaj Auto","BAAUT2",18.653676,73.782194,"BAAUT2"
87,"Down","बजाज ऑटो","Bajaj Auto","BAAUT1",18.653881,73.782524,"BAAUT1"
88,"UP","बेकर कंपनी","Baker Company","BACOM2",18.567277,73.918477,"BACOM2"
89,"Down","बेकर कंपनी","Baker Company","BACOM1",18.567276,73.918528,"BACOM1"
90,"UP","बकुरी फाटा","Bakuri Phata","BAPHA2",18.589507,73.99731,"BAPHA2"
91,"Down","बकुरी फाटा","Bakuri Phata","BAPHA1",18.589507,73.99731,"BAPHA1"
92,"UP","बाल कल्याण संस्था","Bal Kalyan Sanstha","BAKAS2",18.548507,73.823441,"BAKAS2"
93,"Down","बाल कल्याण संस्था","Bal Kalyan Sanstha","BAKAS1",18.548837,73.82356,"BAKAS1"
94,"UP","बालाजीनगर","Balajinagar","BALAJ2",18.464558,73.8579734,"BALAJ2"
95,"Down","बालाजीनगर","Balajinagar","BALAJ1",18.464399,73.858168,"BALAJ1"
96,"UP","बालभारती","Balbharati","BALBH2",18.522078,73.829233,"BALBH2"
97,"Down","बालभारती","Balbharati","BALBH1",18.521385,73.829162,"BALBH1"
98,"Down","बालगंधर्व","Balgandharv","BALGA2",18.521846,73.847476,"BALGA2"
99,"UP","बनाचा ओढा","Banacha Odha","BAODH1",18.627407,73.865359,"BAODH1"
100,"Down","बनाचा ओढा","Banacha Odha","BAODH2",18.627432,73.865198,"BAODH2"
101,"UP","बँक ऑफ महाराष्ट्र हिंजवडी","Bank Of Maharashtra Hinjawadi","BAOFM1",18.593873,73.731465,"BAOFM1"
102,"Down","बँक ऑफ महाराष्ट्र","Bank Of Maharashtra Hinjawadi","BAOFM2",18.593441,73.73245,"BAOFM2"
103,"UP","बापूसाहेब मगर वस्ती","Bapusaheb Magarvasti","BAMAG1",18.518525,73.932589,"BAMAG1"
104,"Down","बापूसाहेब मगरवस्ती","Bapusaheb Magarvasti","BAMAG2",18.518102,73.932806,"BAMAG2"
105,"UP","बेनकरवस्ती","Benkarvasti","BENKA1",18.443125,73.8158,"BENKA1"
106,"Down","बेनकरवस्ती","Benkarvasti","BENKA2",18.443917,73.815741,"BENKA2"
107,"UP","भैरवनगर पिंपळेगुरव","Bhairavnagar Pimplegurav","BHPIM1",18.597031,73.814372,"BHPIM1"
108,"Down","भैरवनगर पिंपळेगुरव","Bhairavnagar Pimplegurav","BHPIM2",18.597092,73.814368,"BHPIM2"
109,"UP","भैरोबा नाला पोलीस चौकी","Bhairoba Nala Police Chowky","BHNAP1",18.5067,73.89682,"BHNAP1"
110,"Down","भैरोबा नाला पोलीस चौकी","Bhairoba Nala Police Chowky","BHNAP2",18.506935,73.896687,"BHNAP2"
111,"UP","भैरोबानागर","Bhairobanagar","BHAIR1",18.674984,74.144822,"BHAIR1"
112,"Down","भैरोबानागर","Bhairobanagar","BHAIR2",18.674984,74.144822,"BHAIR2"
113,"UP","भक्ति शक्ति","Bhakti Shakti","BHSHA1",18.664863,73.77178,"BHSHA1"
114,"Down","भक्ति शक्ति","Bhakti Shakti","BHSHA2",18.665423,73.772236,"BHSHA2"
115,"UP","भांडारकर रोड","Bhandarkar Road","BHROA1",18.519344,73.830311,"BHROA1"
116,"Down","भांडारकर रोड","Bhandarkar Road","BHROA2",18.519762,73.830474,"BHROA2"
117,"UP","भापकर पेट्रोल पंप","Bhapkar Petrol Pump","BHPEP1",18.4885076,73.8573517,"BHPEP1"
118,"Down","भापकर पेट्रोल पंप","Bhapkar Petrol Pump","BHPEP2",18.4897477,73.8576551,"BHPEP2"
119,"UP","भारती विद्यापीठ गेट","Bharati Vidyapeeth Gate","BHVIG1",18.4578924,73.8581048,"BHVIG1"
120,"Down","भारती विद्यापीठ गेट","Bharati Vidyapeeth Gate","BHVIG2",18.457023,73.858506,"BHVIG2"
121,"UP","भारतीनगर","Bharatinagar","BHARA1",18.507892,73.79692,"BHARA1"
122,"Down","भारतीनगर","Bharatinagar","BHARA2",18.507685,73.797148,"BHARA2"
123,"UP","भेकराईनगर","Bhekrainagar","BHEKR1",18.483858,73.952578,"BHEKR1"
124,"Down","भेकराईनगर","Bhekrainagar","BHEKR2",18.484256,73.952662,"BHEKR2"
125,"UP","भिकारदास मारूती","Bhikardas Maruti","BHMAR1",18.508219,73.853669,"BHMAR1"
126,"UP","भोईरनगर","Bhoirnagar","BHOIR2",18.642713,73.783551,"BHOIR2"
127,"Down","भोईरनगर","Bhoirnagar","BHOIR1",18.642696,73.783671,"BHOIR1"
128,"UP","भोंडवेवस्ती  रावेत","Bhondvevasti Ravet","BHRAV2",18.653193,73.73757,"BHRAV2"
129,"Down","भोंडवेवस्ती  रावेत","Bhondvevasti Ravet","BHRAV1",18.653525,73.737611,"BHRAV1"
130,"UP","भोसरी","Bhosari","BHOSA2",18.622214,73.851357,"BHOSA2"
131,"Down","भोसरी","Bhosari","BHOSA1",18.623259,73.851417,"BHOSA1"
132,"UP","भोसरी पोलीस स्टेशन","Bhosari Police Station","BHPOS2",18.618065,73.826967,"BHPOS2"
133,"Down","भोसरी पोलीस स्टेशन","Bhosari Police Station","BHPOS1",18.61837,73.82713,"BHPOS1"
134,"UP","भूमकर चौक","Bhumkar Chowk","BHCHO2",18.605746,73.752593,"BHCHO2"
135,"Down","भूमकर चौक","Bhumkar Chowk","BHCHO1",18.60601,73.752639,"BHCHO1"
136,"UP","भूमकरवस्ती","Bhumkarvasti","BHUMK2",18.602852,73.749365,"BHUMK2"
137,"Down","भूमकरवस्ती","Bhumkarvasti","BHUMK1",18.602904,73.749301,"BHUMK1"
138,"UP","बिडी कामगार वसाहत खराडी","Bidi Kamgar Vasahat Kharadi","BIKAK2",18.557211,73.932296,"BIKAK2"
139,"Down","बिडी कामगार वसाहत खराडी","Bidi Kamgar Vasahat Kharadi","BIKAK1",18.557324,73.932319,"BIKAK1"
140,"UP","बीडी कामगार वसाहत येरवडा","Bidi Kamgar Vasahat Yerawada","BIKAY2",18.553243,73.882531,"BIKAY2"
141,"Down","बिडी कामगार वसाहत येरवडा","Bidi Kamgar Vasahat Yerawada","BIKAY1",18.553338,73.88264,"BIKAY1"
142,"UP","बर्ड व्हॅली","Bird Valley","BIVAL2",18.657321,73.799538,"BIVAL2"
143,"Down","बर्ड व्हॅली","Bird Valley","BIVAL1",18.6571,73.799301,"BIVAL1"
144,"UP","बिर्ला हॉस्पीटल","Birla Hospital","BIHOS2",18.625965,73.775692,"BIHOS2"
145,"Down","बिर्ला हॉस्पीटल","Birla Hospital","BIHOS1",18.626773,73.775162,"BIHOS1"
146,"UP","बिटेवस्ती","Bitevasti","BITEV2",18.54507,73.93562,"BITEV2"
147,"Down","बिटेवस्ती","Bitevasti","BITEV1",18.545228,73.935915,"BITEV1"
148,"UP","बॉडीगेट","Bodygate","BODYG2",18.56311,73.813115,"BODYG2"
149,"Down","बॉडीगेट","Bodygate","BODYG1",18.563131,73.813502,"BODYG1"
150,"UP","बॉम्बे गॅरेज","Bombay Garage","BOGAR2",18.512925,73.879841,"BOGAR2"
151,"Down","बॉम्बे गॅरेज","Bombay Garage","BOGAR1",18.513103,73.879897,"BOGAR1"
152,"UP","बोपोडी","Bopodi","BOPOD2",18.571394,73.838154,"BOPOD2"
153,"Down","बोपोडी","Bopodi","BOPOD1",18.571615,73.837902,"BOPOD1"
154,"UP","ब्रेमण चौक","Bremen Chowk","BRCHO2",18.559595,73.815419,"BRCHO2"
155,"Down","ब्रेमण चौक","Bremen Chowk","BRCHO1",18.55972,73.815579,"BRCHO1"
156,"UP","बंडगार्डन","Bundgarden","BUNDG2",18.54068,73.88344,"BUNDG2"
157,"Down","बंडगार्डन","Bundgarden","BUNDG1",18.540639,73.883628,"BUNDG1"
158,"UP","सेचुरीएन्का कॉलनी","Century Enka Colony","CEECO2",18.615859,73.847988,"CEECO2"
159,"Down","सेचुरीएन्का कॉलनी","Century Enka Colony","CEECO1",18.615904,73.847388,"CEECO1"
160,"UP","सेच्युरीऐन्का कंपनी","Century Enka Company","CEENC2",18.626833,73.835111,"CEENC2"
161,"Down","सेच्युरीऐन्का कंपनी","Century Enka Company","CEENC1",18.62733,73.834818,"CEENC1"
162,"UP","चंदननगर","Chandannagar","CHAND2",18.563342,73.932965,"CHAND2"
163,"Down","चंदननगर","Chandannagar","CHAND1",18.563342,73.932965,"CHAND1"
164,"UP","चाफेकर चौक","Chaphekar Chowk","CHCHO2",18.630113,73.779302,"CHCHO2"
165,"Down","चाफेकर चौक","Chaphekar Chowk","CHCHO1",18.62839,73.780308,"CHCHO1"
166,"UP","चतु:श्रृंगी पायथा","Chatuhshrungi Paytha","CHPAY2",18.5393422,73.8297355,"CHPAY2"
167,"Down","चतु:श्रृंगी पायथा","Chatuhshrungi Paytha","CHPAY1",18.539861,73.829854,"CHPAY1"
168,"UP","चिंचवड स्टेशन","Chinchwad Station","CHSTA2",18.6397953,73.7939696,"CHSTA2"
169,"Down","चिंचवड स्टेशन","Chinchwad Station","CHSTA1",18.638225,73.795849,"CHSTA1"
170,"UP","चिंचवडगांव","Chinchwadgaon","CHINC2",18.627841,73.782584,"CHINC2"
171,"Down","चिंचवडगांव","Chinchwadgaon","CHINC1",18.627568,73.782086,"CHINC1"
172,"UP","चित्रशाळा","Chitrashala","CHITR2",18.513118,73.846995,"CHITR2"
173,"UP","सीआयआरटी","CIRT","CIRT01",18.6142,73.82476,"CIRT01"
174,"Down","सीआयआरटी","CIRT","CIRT02",18.614216,73.824469,"CIRT02"
175,"Down","सिटि पोस्ट","City Post","CIPOS1",18.51577,73.856819,"CIPOS1"
176,"Down","सीओईपी होस्टेल","COEP Hostel","COHOS2",18.528638,73.852335,"COHOS2"
177,"UP","कलेक्टर कचेरी","Collector Kacheri","COKAC1",18.524428,73.871644,"COKAC1"
178,"Down","कलेक्टर कचेरी","Collector Kacheri","COKAC2",18.524797,73.871778,"COKAC2"
179,"Down","कॉमन वेल्थ","Common Wealth","COWEA1",18.514033,73.84917,"COWEA1"
180,"UP","कॉर्पोरेशन बँक","Corporation Bank","COBAN2",18.565117,73.911456,"COBAN2"
181,"Down","कॉर्पोरेशन बँक","Corporation Bank","COBAN1",18.56207,73.911528,"COBAN1"
182,"Down","दगडी नागोबा","Dagadi Nagoba","DANAG2",18.518375,73.86164,"DANAG2"
183,"UP","डेअरी फार्म","Dairy Farm","DAFAR1",18.621252,73.760226,"DAFAR1"
184,"Down","डेअरी फार्म","Dairy Farm","DAFAR2",18.621439,73.760502,"DAFAR2"
185,"UP","दक्षिणमुखी मारुती","Dakshinmukhi Maruti","DAMAR1",18.518276,73.85397,"DAMAR1"
186,"UP","दांडेकर पूल","Dandekar Pul","DAPUL2",18.501333,73.847038,"DAPUL2"
187,"Down","दांडेकर पूल","Dandekar Pul","DAPUL1",18.501145,73.846516,"DAPUL1"
188,"UP","डांगे चौक","Dange Chowk","DACHO2",18.614509,73.765934,"DACHO2"
189,"Down","डांगे चौक","Dange Chowk","DACHO1",18.614648,73.766066,"DACHO1"
190,"UP","दापोडी","Dapodi","DAPOD2",18.581448,73.834119,"DAPOD2"
191,"Down","दापोडी","Dapodi","DAPOD1",18.581448,73.834119,"DAPOD1"
192,"UP","दाते स्टॉप","Date Stop","DASTO2",18.480146,73.850276,"DASTO2"
193,"Down","दाते स्टॉप","Date Stop","DASTO1",18.478586,73.850699,"DASTO1"
194,"UP","दत्तमंदिर विमाननगर","Dattamandir Vimannagar","DAVIM2",18.565472,73.914011,"DAVIM2"
195,"Down","दत्तमंदिर विमाननगर","Dattamandir Vimannagar","DAVIM1",18.565275,73.914012,"DAVIM1"
196,"UP","दत्तमंदिर वाडगावशेरी","Dattamandir Wadgaonsheri","DAWAD2",18.54681,73.921389,"DAWAD2"
197,"Down","दत्तमंदिर वाडगावशेरी","Dattamandir Wadgaonsheri","DAWAD1",18.546513,73.921381,"DAWAD1"
198,"UP","दत्तनगर आळंदी रोड ","Dattanagar Alandi Road","DAALR2",18.622081,73.874074,"DAALR2"
199,"Down","दत्तनगर आळंदी रोड ","Dattanagar Alandi Road","DAALR1",18.622537,73.874123,"DAALR1"
200,"UP","दत्तनगर चिंचवड रोड ","Dattanagar Chinchwad Road","DACHR2",18.623257,73.774002,"DACHR2"
