block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
7,0,R1,WK,R1_0,Maharaja College,R1WKR125341,12:53 Maharaja College,1
7,1,R1,WK,R1_1,Aluva,R1WKL132842,13:28 Aluva,1
7,0,R1,WK,R1_0,Maharaja College,R1WKR140341,14:03 Maharaja College,1
7,1,R1,WK,R1_1,Aluva,R1WKL143842,14:38 Aluva,1
7,0,R1,WK,R1_0,Maharaja College,R1WKR151341,15:13 Maharaja College,1
7,1,R1,WK,R1_1,Aluva,R1WKL154842,15:48 Aluva,1
7,0,R1,WK,R1_0,Maharaja College,R1WKR162341,16:23 Maharaja College,1
7,1,R1,WK,R1_1,Aluva,R1WKL165842,16:58 Aluva,1
7,0,R1,WK,R1_0,Maharaja College,R1WKR173341,17:33 Maharaja College,1
7,1,R1,WK,R1_1,Aluva,R1WKL180842,18:08 Aluva,1
7,0,R1,WK,R1_0,Maharaja College,R1WKR184341,18:43 Maharaja College,1
7,1,R1,WK,R1_1,Aluva,R1WKL191842,19:18 Aluva,1
7,0,R1,WK,R1_0,Maharaja College,R1WKR195533,19:55 Maharaja College,1
7,1,R1,WK,R1_1,Aluva,R1WKL203137,20:31 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR084855,08:48 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL092342,09:23 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR095841,09:58 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL103342,10:33 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR110841,11:08 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL114342,11:43 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR121841,12:18 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL125342,12:53 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR132841,13:28 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL140342,14:03 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR143841,14:38 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL151342,15:13 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR154841,15:48 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL162342,16:23 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR165841,16:58 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL173342,17:33 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR180841,18:08 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL184342,18:43 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR191841,19:18 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL195342,19:53 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR203111,20:31 Maharaja College,1
8,1,R1,WK,R1_1,Aluva,R1WKL210637,21:06 Aluva,1
8,0,R1,WK,R1_0,Maharaja College,R1WKR214136,21:41 Maharaja College,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR075636,07:56 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL083147,08:31 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR090646,09:06 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL094147,09:41 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR102155,10:21 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL105727,10:57 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR113226,11:32 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL120727,12:07 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR124226,12:42 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL131727,13:17 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR135226,13:52 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL142727,14:27 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR150226,15:02 Maharaja College,1
