shape_dist_traveled,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
0.0,R1_0,10.110608860405783,76.34918872659786,1
0.04,R1_0,10.110250193435004,76.34934604853134,2
0.08,R1_0,10.1099,76.3495,3
0.14,R1_0,10.109410585097017,76.34961929188948,4
0.19,R1_0,10.109003007442977,76.34971865311061,5
0.32,R1_0,10.107845484086933,76.3499587760617,6
0.41000000000000003,R1_0,10.107079233938267,76.35008297758814,7
0.47000000000000003,R1_0,10.106533075802389,76.35014921840224,8
0.55,R1_0,10.105848338918063,76.35015749850399,9
0.63,R1_0,10.105114690637768,76.35012437809694,10
0.7,R1_0,10.104462557427555,76.35004157707932,11
0.77,R1_0,10.103875636407402,76.3499173755529,12
0.86,R1_0,10.103101225088661,76.34967725260182,13
0.96,R1_0,10.102269749807036,76.34934604853134,14
1.04,R1_0,10.101666521296314,76.34898793413015,15
1.19,R1_0,10.10058233748009,76.34822616476806,16
1.25,R1_0,10.100142141504032,76.34794464130816,17
1.37,R1_0,10.099155774259282,76.34742299489717,18
1.4200000000000002,R1_0,10.098788942694194,76.34724704273474,19
1.5100000000000002,R1_0,10.097981911778632,76.3469737993766,20
1.6100000000000003,R1_0,10.097101512107363,76.34679991723961,21
1.7100000000000004,R1_0,10.096172198729745,76.34671711622198,22
1.7900000000000005,R1_0,10.095454832181671,76.34665087540789,23
1.8300000000000005,R1_0,10.0951,76.3466,24
1.8800000000000006,R1_0,10.094631489058944,76.34651011367795,25
1.9600000000000006,R1_0,10.093954878777392,76.34632795143918,26
2.0500000000000007,R1_0,10.09318859553606,76.3460774783609,27
2.1400000000000006,R1_0,10.092463070360308,76.34577939469747,28
2.3900000000000006,R1_0,10.090449525632145,76.3446698610614,29
2.5400000000000005,R1_0,10.089267479338519,76.34397433251341,30
2.6500000000000004,R1_0,10.08842781623194,76.34349305159851,31
2.7100000000000004,R1_0,10.087954995266635,76.3432115281386,32
2.8000000000000003,R1_0,10.0873,76.3428,33
2.85,R1_0,10.086895221615906,76.34260190564639,34
2.94,R1_0,10.08622267114428,76.34221688091448,35
3.17,R1_0,10.084457728986427,76.34119532335961,36
3.34,R1_0,10.083104464246922,76.34042941394667,37
3.4899999999999998,R1_0,10.081873477529253,76.33984152672157,38
3.5799999999999996,R1_0,10.081099013277115,76.33954344305815,39
3.6699999999999995,R1_0,10.08030263789797,76.3392648952598,40
3.7899999999999996,R1_0,10.0793,76.3389,41
3.9499999999999997,R1_0,10.077922161821723,76.33838616946036,42
4.029999999999999,R1_0,10.077306659154111,76.33810464600047,43
4.079999999999999,R1_0,10.076923497959617,76.33783761271864,44
4.129999999999999,R1_0,10.076577022019373,76.33752296885172,45
4.199999999999999,R1_0,10.07615309800953,76.3370251277333,46
4.3999999999999995,R1_0,10.07491800853431,76.33575827216379,47
4.63,R1_0,10.073430188198621,76.33426992387216,48
4.74,R1_0,10.0727,76.3336,49
4.92,R1_0,10.07144505832319,76.33263149873608,50
5.17,R1_0,10.069822704918261,76.33098996856185,51
5.31,R1_0,10.06892184686672,76.33007294729175,52
5.409999999999999,R1_0,10.068216648537405,76.32944365955788,53
5.489999999999999,R1_0,10.067678577099308,76.32899860408818,54
5.72,R1_0,10.06583200693271,76.32796980144431,55
5.91,R1_0,10.064397137169466,76.32697618923294,56
6.08,R1_0,10.063223148073885,76.32591633620746,57
6.2700000000000005,R1_0,10.062277431531228,76.32445903829742,58
6.420000000000001,R1_0,10.061429545379392,76.32339918527194,59
6.530000000000001,R1_0,10.060646879263217,76.32276989753807,60
6.6800000000000015,R1_0,10.059375042778887,76.32227309143236,61
6.770000000000001,R1_0,10.0586,76.322,62
6.8900000000000015,R1_0,10.057630335864618,76.32161068329144,63
7.170000000000002,R1_0,10.055135551663975,76.3212132384069,64
7.420000000000002,R1_0,10.053064703089197,76.32024860655166,65
7.650000000000002,R1_0,10.05109167753654,76.31950339739313,66
8.160000000000002,R1_0,10.0467,76.3182,67
8.860000000000001,R1_0,10.04068825279645,76.31633625846933,68
9.410000000000002,R1_0,10.0361,76.3144,69
9.850000000000001,R1_0,10.032534864816691,76.3126184927784,70
10.64,R1_0,10.02640338182592,76.30900836841036,71
10.8,R1_0,10.0251,76.3083,72
11.530000000000001,R1_0,10.01943910589762,76.30497457883551,73
11.73,R1_0,10.018132638905785,76.30376580943441,74
11.9,R1_0,10.016942297731514,76.30276341529691,75
11.98,R1_0,10.016332609096933,76.30238014695023,76
12.110000000000001,R1_0,10.0152,76.3023,77
12.21,R1_0,10.014300305372988,76.30220325386713,78
12.75,R1_0,10.009625958503708,76.30358891635133,79
13.13,R1_0,10.0064,76.3048,80
13.290000000000001,R1_0,10.005038645826346,76.30510724864781,81
13.350000000000001,R1_0,10.004530553410598,76.30510724864781,82
13.490000000000002,R1_0,10.003369196332768,76.30470923921088,83
13.690000000000001,R1_0,10.001932011200497,76.30354469308054,84
13.740000000000002,R1_0,10.001714255322778,76.30317616582411,85
13.820000000000002,R1_0,10.001517548873277,76.30243668515558,86
14.040000000000003,R1_0,10.001119841466005,76.300449771081,87
14.100000000000003,R1_0,10.000913033421826,76.29998131166504,88
14.240000000000004,R1_0,10.0002,76.2989,89
14.380000000000004,R1_0,9.999529006968833,76.29778843698517,90
14.510000000000005,R1_0,9.998741541011,76.29686767192622,91
14.750000000000005,R1_0,9.997333642573508,76.29517960265149,92
14.880000000000006,R1_0,9.996601851146377,76.29422653004659,93
15.100000000000007,R1_0,9.995416663709888,76.2926030758637,94
15.280000000000006,R1_0,9.9943,76.2914,95
15.530000000000006,R1_0,9.992680375541934,76.28986904978954,96
15.670000000000007,R1_0,9.991837212337712,76.28896847694678,97
15.750000000000007,R1_0,9.9914,76.2884,98
15.850000000000007,R1_0,9.990858822105993,76.28769232888261,99
15.880000000000006,R1_0,9.990707688393123,76.28752271426649,100
16.040000000000006,R1_0,9.989530433909946,76.2866665642994,101
16.200000000000006,R1_0,9.988297493903806,76.28595579828898,102
16.270000000000007,R1_0,9.98783613450657,76.28557618462433,103
16.330000000000005,R1_0,9.987462273825471,76.28523695539208,104
16.370000000000005,R1_0,9.987199775643736,76.28493811059225,105
16.470000000000006,R1_0,9.986690687657338,76.28420311392236,106
16.580000000000005,R1_0,9.986300916629386,76.28328638730667,107
16.630000000000006,R1_0,9.98614182627972,76.2828663892096,108
16.680000000000007,R1_0,9.985935008708877,76.28251100620437,109
16.720000000000006,R1_0,9.985664554764059,76.28226062272343,110
16.750000000000007,R1_0,9.985402055132067,76.28209908499379,111
16.790000000000006,R1_0,9.985075918930699,76.28199408546953,112
16.840000000000007,R1_0,9.984654327747034,76.28196985481007,113
16.870000000000008,R1_0,9.984375918175399,76.28201831612898,114
16.980000000000008,R1_0,9.9834,76.2823,115
17.180000000000007,R1_0,9.98173499268099,76.28290677364201,116
17.420000000000005,R1_0,9.979615207824892,76.28328254771993,117
17.520000000000007,R1_0,9.978780194386482,76.2834682550632,118
17.740000000000006,R1_0,9.976907355778346,76.28413160412475,119
17.930000000000007,R1_0,9.975295834867703,76.28458857792273,120
18.170000000000005,R1_0,9.9732,76.2851,121
0.0,R1_1,9.9732,76.2851,1
0.24,R1_1,9.975295834867703,76.28458857792273,2
0.43,R1_1,9.976907355778346,76.28413160412475,3
0.65,R1_1,9.978780194386482,76.2834682550632,4
0.75,R1_1,9.979615207824892,76.28328254771993,5
0.99,R1_1,9.98173499268099,76.28290677364201,6
1.19,R1_1,9.9834,76.2823,7
1.3,R1_1,9.984375918175399,76.28201831612898,8
1.33,R1_1,9.984654327747034,76.28196985481007,9
1.38,R1_1,9.985075918930699,76.28199408546953,10
1.42,R1_1,9.985402055132067,76.28209908499379,11
1.45,R1_1,9.985664554764059,76.28226062272343,12
1.49,R1_1,9.985935008708877,76.28251100620437,13
1.54,R1_1,9.98614182627972,76.2828663892096,14
1.59,R1_1,9.986300916629386,76.28328638730667,15
1.7,R1_1,9.986690687657338,76.28420311392236,16
1.8,R1_1,9.987199775643736,76.28493811059225,17
1.84,R1_1,9.987462273825471,76.28523695539208,18
1.9,R1_1,9.98783613450657,76.28557618462433,19
1.97,R1_1,9.988297493903806,76.28595579828898,20
2.13,R1_1,9.989530433909946,76.2866665642994,21
2.29,R1_1,9.990707688393123,76.28752271426649,22
2.32,R1_1,9.990858822105993,76.28769232888261,23
2.42,R1_1,9.9914,76.2884,24
2.5,R1_1,9.991837212337712,76.28896847694678,25
2.64,R1_1,9.992680375541934,76.28986904978954,26
2.89,R1_1,9.9943,76.2914,27
3.07,R1_1,9.995416663709888,76.2926030758637,28
3.29,R1_1,9.996601851146377,76.29422653004659,29
3.42,R1_1,9.997333642573508,76.29517960265149,30
3.66,R1_1,9.998741541011,76.29686767192622,31
3.79,R1_1,9.999529006968833,76.29778843698517,32
3.93,R1_1,10.0002,76.2989,33
4.07,R1_1,10.000913033421826,76.29998131166504,34
4.13,R1_1,10.001119841466005,76.300449771081,35
4.35,R1_1,10.001517548873277,76.30243668515558,36
4.43,R1_1,10.001714255322778,76.30317616582411,37
4.48,R1_1,10.001932011200497,76.30354469308054,38
4.68,R1_1,10.003369196332768,76.30470923921088,39
4.82,R1_1,10.004530553410598,76.30510724864781,40
4.88,R1_1,10.005038645826346,76.30510724864781,41
5.04,R1_1,10.0064,76.3048,42
5.42,R1_1,10.009625958503708,76.30358891635133,43
5.96,R1_1,10.014300305372988,76.30220325386713,44
6.06,R1_1,10.0152,76.3023,45
6.19,R1_1,10.016332609096933,76.30238014695023,46
6.27,R1_1,10.016942297731514,76.30276341529691,47
6.44,R1_1,10.018132638905785,76.30376580943441,48
6.64,R1_1,10.01943910589762,76.30497457883551,49
7.37,R1_1,10.0251,76.3083,50
7.53,R1_1,10.02640338182592,76.30900836841036,51
8.32,R1_1,10.032534864816691,76.3126184927784,52
8.76,R1_1,10.0361,76.3144,53
9.31,R1_1,10.04068825279645,76.31633625846933,54
10.01,R1_1,10.0467,76.3182,55
10.52,R1_1,10.05109167753654,76.31950339739313,56
10.75,R1_1,10.053064703089197,76.32024860655166,57
11.0,R1_1,10.055135551663975,76.3212132384069,58
11.28,R1_1,10.057630335864618,76.32161068329144,59
11.4,R1_1,10.0586,76.322,60
11.49,R1_1,10.059375042778887,76.32227309143236,61
11.64,R1_1,10.060646879263217,76.32276989753807,62
11.75,R1_1,10.061429545379392,76.32339918527194,63
11.9,R1_1,10.062277431531228,76.32445903829742,64
12.09,R1_1,10.063223148073885,76.32591633620746,65
12.26,R1_1,10.064397137169466,76.32697618923294,66
12.45,R1_1,10.06583200693271,76.32796980144431,67
12.68,R1_1,10.067678577099308,76.32899860408818,68
12.76,R1_1,10.068216648537405,76.32944365955788,69
12.86,R1_1,10.06892184686672,76.33007294729175,70
13.0,R1_1,10.069822704918261,76.33098996856185,71
13.25,R1_1,10.07144505832319,76.33263149873608,72
13.43,R1_1,10.0727,76.3336,73
13.54,R1_1,10.073430188198621,76.33426992387216,74
13.77,R1_1,10.07491800853431,76.33575827216379,75
13.97,R1_1,10.07615309800953,76.3370251277333,76
14.04,R1_1,10.076577022019373,76.33752296885172,77
14.09,R1_1,10.076923497959617,76.33783761271864,78
14.14,R1_1,10.077306659154111,76.33810464600047,79
14.22,R1_1,10.077922161821723,76.33838616946036,80
14.38,R1_1,10.0793,76.3389,81
14.5,R1_1,10.08030263789797,76.3392648952598,82
14.59,R1_1,10.081099013277115,76.33954344305815,83
14.68,R1_1,10.081873477529253,76.33984152672157,84
14.83,R1_1,10.083104464246922,76.34042941394667,85
15.0,R1_1,10.084457728986427,76.34119532335961,86
15.23,R1_1,10.08622267114428,76.34221688091448,87
15.32,R1_1,10.086895221615906,76.34260190564639,88
15.37,R1_1,10.0873,76.3428,89
15.46,R1_1,10.087954995266635,76.3432115281386,90
15.52,R1_1,10.08842781623194,76.34349305159851,91
15.63,R1_1,10.089267479338519,76.34397433251341,92
15.78,R1_1,10.090449525632145,76.3446698610614,93
16.03,R1_1,10.092463070360308,76.34577939469747,94
16.12,R1_1,10.09318859553606,76.3460774783609,95
16.21,R1_1,10.093954878777392,76.34632795143918,96
16.29,R1_1,10.094631489058944,76.34651011367795,97
16.34,R1_1,10.0951,76.3466,98
16.38,R1_1,10.095454832181671,76.34665087540789,99
16.46,R1_1,10.096172198729745,76.34671711622198,100
16.56,R1_1,10.097101512107363,76.34679991723961,101
16.66,R1_1,10.097981911778632,76.3469737993766,102
16.75,R1_1,10.098788942694194,76.34724704273474,103
16.8,R1_1,10.099155774259282,76.34742299489717,104
16.92,R1_1,10.100142141504032,76.34794464130816,105
16.98,R1_1,10.10058233748009,76.34822616476806,106
17.13,R1_1,10.101666521296314,76.34898793413015,107
17.21,R1_1,10.102269749807036,76.34934604853134,108
17.31,R1_1,10.103101225088661,76.34967725260182,109
17.4,R1_1,10.103875636407402,76.3499173755529,110
17.47,R1_1,10.104462557427555,76.35004157707932,111
17.54,R1_1,10.105114690637768,76.35012437809694,112
17.62,R1_1,10.105848338918063,76.35015749850399,113
17.7,R1_1,10.106533075802389,76.35014921840224,114
17.76,R1_1,10.107079233938267,76.35008297758814,115
17.85,R1_1,10.107845484086933,76.3499587760617,116
17.98,R1_1,10.109003007442977,76.34971865311061,117
18.03,R1_1,10.109410585097017,76.34961929188948,118
18.09,R1_1,10.1099,76.3495,119
18.13,R1_1,10.110250193435004,76.34934604853134,120
18.17,R1_1,10.110608860405783,76.34918872659786,121
