shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
R001_0,1,76.34918872659786,0.0,10.110608860405783
R001_0,2,76.34934604853134,0.04,10.110250193435004
R001_0,3,76.3495,0.08,10.1099
R001_0,4,76.34961929188948,0.14,10.109410585097017
R001_0,5,76.34971865311061,0.19,10.109003007442977
R001_0,6,76.3499587760617,0.32,10.107845484086933
R001_0,7,76.35008297758814,0.41000000000000003,10.107079233938267
R001_0,8,76.35014921840224,0.47000000000000003,10.106533075802389
R001_0,9,76.35015749850399,0.55,10.105848338918063
R001_0,10,76.35012437809694,0.63,10.105114690637768
R001_0,11,76.35004157707932,0.7,10.104462557427555
R001_0,12,76.3499173755529,0.77,10.103875636407402
R001_0,13,76.34967725260182,0.86,10.103101225088661
R001_0,14,76.34934604853134,0.96,10.102269749807036
R001_0,15,76.34898793413015,1.04,10.101666521296314
R001_0,16,76.34822616476806,1.19,10.10058233748009
R001_0,17,76.34794464130816,1.25,10.100142141504032
R001_0,18,76.34742299489717,1.37,10.099155774259282
R001_0,19,76.34724704273474,1.4200000000000002,10.098788942694194
R001_0,20,76.3469737993766,1.5100000000000002,10.097981911778632
R001_0,21,76.34679991723961,1.6100000000000003,10.097101512107363
R001_0,22,76.34671711622198,1.7100000000000004,10.096172198729745
R001_0,23,76.34665087540789,1.7900000000000005,10.095454832181671
R001_0,24,76.3466,1.8300000000000005,10.0951
R001_0,25,76.34651011367795,1.8800000000000006,10.094631489058944
R001_0,26,76.34632795143918,1.9600000000000006,10.093954878777392
R001_0,27,76.3460774783609,2.0500000000000007,10.09318859553606
R001_0,28,76.34577939469747,2.1400000000000006,10.092463070360308
R001_0,29,76.3446698610614,2.3900000000000006,10.090449525632145
R001_0,30,76.34397433251341,2.5400000000000005,10.089267479338519
R001_0,31,76.34349305159851,2.6500000000000004,10.08842781623194
R001_0,32,76.3432115281386,2.7100000000000004,10.087954995266635
R001_0,33,76.3428,2.8000000000000003,10.0873
R001_0,34,76.34260190564639,2.85,10.086895221615906
R001_0,35,76.34221688091448,2.94,10.08622267114428
R001_0,36,76.34119532335961,3.17,10.084457728986427
R001_0,37,76.34042941394667,3.34,10.083104464246922
R001_0,38,76.33984152672157,3.4899999999999998,10.081873477529253
R001_0,39,76.33954344305815,3.5799999999999996,10.081099013277115
R001_0,40,76.3392648952598,3.6699999999999995,10.08030263789797
R001_0,41,76.3389,3.7899999999999996,10.0793
R001_0,42,76.33838616946036,3.9499999999999997,10.077922161821723
R001_0,43,76.33810464600047,4.029999999999999,10.077306659154111
R001_0,44,76.33783761271864,4.079999999999999,10.076923497959617
R001_0,45,76.33752296885172,4.129999999999999,10.076577022019373
R001_0,46,76.3370251277333,4.199999999999999,10.07615309800953
R001_0,47,76.33575827216379,4.3999999999999995,10.07491800853431
R001_0,48,76.33426992387216,4.63,10.073430188198621
R001_0,49,76.3336,4.74,10.0727
R001_0,50,76.33263149873608,4.92,10.07144505832319
R001_0,51,76.33098996856185,5.17,10.069822704918261
R001_0,52,76.33007294729175,5.31,10.06892184686672
R001_0,53,76.32944365955788,5.409999999999999,10.068216648537405
R001_0,54,76.32899860408818,5.489999999999999,10.067678577099308
R001_0,55,76.32796980144431,5.72,10.06583200693271
R001_0,56,76.32697618923294,5.91,10.064397137169466
R001_0,57,76.32591633620746,6.08,10.063223148073885
R001_0,58,76.32445903829742,6.2700000000000005,10.062277431531228
R001_0,59,76.32339918527194,6.420000000000001,10.061429545379392
R001_0,60,76.32276989753807,6.530000000000001,10.060646879263217
R001_0,61,76.32227309143236,6.6800000000000015,10.059375042778887
R001_0,62,76.322,6.770000000000001,10.0586
R001_0,63,76.32161068329144,6.8900000000000015,10.057630335864618
R001_0,64,76.3212132384069,7.170000000000002,10.055135551663975
R001_0,65,76.32024860655166,7.420000000000002,10.053064703089197
R001_0,66,76.31950339739313,7.650000000000002,10.05109167753654
R001_0,67,76.3182,8.160000000000002,10.0467
R001_0,68,76.31633625846933,8.860000000000001,10.04068825279645
R001_0,69,76.3144,9.410000000000002,10.0361
R001_0,70,76.3126184927784,9.850000000000001,10.032534864816691
R001_0,71,76.30900836841036,10.64,10.02640338182592
