shape_id,shape_pt_lat,shape_pt_lon,shape_dist_traveled,shape_pt_sequence
R1_0,10.110608860405783,76.34918872659786,0.0,1
R1_0,10.110250193435004,76.34934604853134,0.04,2
R1_0,10.1099,76.3495,0.08,3
R1_0,10.109410585097017,76.34961929188948,0.14,4
R1_0,10.109003007442977,76.34971865311061,0.19,5
R1_0,10.107845484086933,76.3499587760617,0.32,6
R1_0,10.107079233938267,76.35008297758814,0.41000000000000003,7
R1_0,10.106533075802389,76.35014921840224,0.47000000000000003,8
R1_0,10.105848338918063,76.35015749850399,0.55,9
R1_0,10.105114690637768,76.35012437809694,0.63,10
R1_0,10.104462557427555,76.35004157707932,0.7,11
R1_0,10.103875636407402,76.3499173755529,0.77,12
R1_0,10.103101225088661,76.34967725260182,0.86,13
R1_0,10.102269749807036,76.34934604853134,0.96,14
R1_0,10.101666521296314,76.34898793413015,1.04,15
R1_0,10.10058233748009,76.34822616476806,1.19,16
R1_0,10.100142141504032,76.34794464130816,1.25,17
R1_0,10.099155774259282,76.34742299489717,1.37,18
R1_0,10.098788942694194,76.34724704273474,1.4200000000000002,19
R1_0,10.097981911778632,76.3469737993766,1.5100000000000002,20
R1_0,10.097101512107363,76.34679991723961,1.6100000000000003,21
R1_0,10.096172198729745,76.34671711622198,1.7100000000000004,22
R1_0,10.095454832181671,76.34665087540789,1.7900000000000005,23
R1_0,10.0951,76.3466,1.8300000000000005,24
R1_0,10.094631489058944,76.34651011367795,1.8800000000000006,25
R1_0,10.093954878777392,76.34632795143918,1.9600000000000006,26
R1_0,10.09318859553606,76.3460774783609,2.0500000000000007,27
R1_0,10.092463070360308,76.34577939469747,2.1400000000000006,28
R1_0,10.090449525632145,76.3446698610614,2.3900000000000006,29
R1_0,10.089267479338519,76.34397433251341,2.5400000000000005,30
R1_0,10.08842781623194,76.34349305159851,2.6500000000000004,31
R1_0,10.087954995266635,76.3432115281386,2.7100000000000004,32
R1_0,10.0873,76.3428,2.8000000000000003,33
R1_0,10.086895221615906,76.34260190564639,2.85,34
R1_0,10.08622267114428,76.34221688091448,2.94,35
R1_0,10.084457728986427,76.34119532335961,3.17,36
R1_0,10.083104464246922,76.34042941394667,3.34,37
R1_0,10.081873477529253,76.33984152672157,3.4899999999999998,38
R1_0,10.081099013277115,76.33954344305815,3.5799999999999996,39
R1_0,10.08030263789797,76.3392648952598,3.6699999999999995,40
R1_0,10.0793,76.3389,3.7899999999999996,41
R1_0,10.077922161821723,76.33838616946036,3.9499999999999997,42
R1_0,10.077306659154111,76.33810464600047,4.029999999999999,43
R1_0,10.076923497959617,76.33783761271864,4.079999999999999,44
R1_0,10.076577022019373,76.33752296885172,4.129999999999999,45
R1_0,10.07615309800953,76.3370251277333,4.199999999999999,46
R1_0,10.07491800853431,76.33575827216379,4.3999999999999995,47
R1_0,10.073430188198621,76.33426992387216,4.63,48
R1_0,10.0727,76.3336,4.74,49
R1_0,10.07144505832319,76.33263149873608,4.92,50
R1_0,10.069822704918261,76.33098996856185,5.17,51
R1_0,10.06892184686672,76.33007294729175,5.31,52
R1_0,10.068216648537405,76.32944365955788,5.409999999999999,53
R1_0,10.067678577099308,76.32899860408818,5.489999999999999,54
R1_0,10.06583200693271,76.32796980144431,5.72,55
R1_0,10.064397137169466,76.32697618923294,5.91,56
R1_0,10.063223148073885,76.32591633620746,6.08,57
R1_0,10.062277431531228,76.32445903829742,6.2700000000000005,58
R1_0,10.061429545379392,76.32339918527194,6.420000000000001,59
R1_0,10.060646879263217,76.32276989753807,6.530000000000001,60
R1_0,10.059375042778887,76.32227309143236,6.6800000000000015,61
R1_0,10.0586,76.322,6.770000000000001,62
R1_0,10.057630335864618,76.32161068329144,6.8900000000000015,63
R1_0,10.055135551663975,76.3212132384069,7.170000000000002,64
R1_0,10.053064703089197,76.32024860655166,7.420000000000002,65
R1_0,10.05109167753654,76.31950339739313,7.650000000000002,66
R1_0,10.0467,76.3182,8.160000000000002,67
R1_0,10.04068825279645,76.31633625846933,8.860000000000001,68
R1_0,10.0361,76.3144,9.410000000000002,69
R1_0,10.032534864816691,76.3126184927784,9.850000000000001,70
R1_0,10.02640338182592,76.30900836841036,10.64,71
R1_0,10.0251,76.3083,10.8,72
R1_0,10.01943910589762,76.30497457883551,11.530000000000001,73
R1_0,10.018132638905785,76.30376580943441,11.73,74
R1_0,10.016942297731514,76.30276341529691,11.9,75
R1_0,10.016332609096933,76.30238014695023,11.98,76
R1_0,10.0152,76.3023,12.110000000000001,77
R1_0,10.014300305372988,76.30220325386713,12.21,78
R1_0,10.009625958503708,76.30358891635133,12.75,79
R1_0,10.0064,76.3048,13.13,80
R1_0,10.005038645826346,76.30510724864781,13.290000000000001,81
R1_0,10.004530553410598,76.30510724864781,13.350000000000001,82
R1_0,10.003369196332768,76.30470923921088,13.490000000000002,83
R1_0,10.001932011200497,76.30354469308054,13.690000000000001,84
R1_0,10.001714255322778,76.30317616582411,13.740000000000002,85
R1_0,10.001517548873277,76.30243668515558,13.820000000000002,86
R1_0,10.001119841466005,76.300449771081,14.040000000000003,87
R1_0,10.000913033421826,76.29998131166504,14.100000000000003,88
R1_0,10.0002,76.2989,14.240000000000004,89
R1_0,9.999529006968833,76.29778843698517,14.380000000000004,90
R1_0,9.998741541011,76.29686767192622,14.510000000000005,91
R1_0,9.997333642573508,76.29517960265149,14.750000000000005,92
R1_0,9.996601851146377,76.29422653004659,14.880000000000006,93
R1_0,9.995416663709888,76.2926030758637,15.100000000000007,94
R1_0,9.9943,76.2914,15.280000000000006,95
