stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0802920,51988,Industrial Pkwy:Stratford Rd,,  37.6173755,-122.0694223,,,0,
0802930,52101,Investment Blvd:#3563,,  37.6246273,-122.1211155,,,0,
0802940,53878,Investment Blvd:Eden Landing Rd,,  37.6244028,-122.1215061,,,0,
0802950,56130,Investment Blvd:Production Av,,  37.6261903,-122.1176987,,,0,
0802960,53212,Investment Blvd:Production Av,,  37.6263696,-122.1176690,,,0,
0803030,56457,Mack St:#20201 (Opp. Ac Transit Training Center),,  37.6547990,-122.1339910,,,0,
0803040,56321,Mack St:#20234 (AC Transit Training Center),,  37.6547644,-122.1338375,,,0,
0803050,57782,Mack St:#20303,,  37.6542250,-122.1321880,,,0,
0803060,51776,Mack St:Div 6 Yard,,  37.6543596,-122.1320744,,,0,place_D6
0803070,53034,Mack St:Sabre St,,  37.6563407,-122.1338389,,,0,
0803080,51310,Mack St:Sabre St,,  37.6564202,-122.1340022,,,0,
0803090,55445,Mack St:W Winton Av,,  37.6532970,-122.1308065,,,0,
0803100,50870,Mack St:W Winton Av,,  37.6531473,-122.1309835,,,0,
0803110,55930,Manon Av:Harris Rd,,  37.6361693,-122.0691511,,,0,
0803120,55960,Manon Av:Schafer Rd,,  37.6409743,-122.0737957,,,0,
0803130,55907,Manon Av:Schafer Rd,,  37.6408226,-122.0739381,,,0,
0803140,57783,Manon Av:Shepherd Av,,  37.6382211,-122.0715125,,,0,
0803150,55983,Manon Av:Shepherd Av,,  37.6383837,-122.0718630,,,0,
0803160,56750,Meek Av:Jackson St,,  37.6643333,-122.0835746,,,0,
0803280,58750,Mission Blvd:#26395,,  37.6483265,-122.0649203,,,0,
0803290,53352,Mission Blvd:Alquire Pkwy,,  37.6300971,-122.0471706,,,0,
0803300,55690,Mission Blvd:Arrowhead Way,,  37.6250888,-122.0418397,,,0,
0803310,56353,Mission Blvd:Arrowhead Way,,  37.6258183,-122.0423225,,,0,
0803330,59220,Mission Blvd:Berry Av,,  37.6573365,-122.0719227,,,0,
0803350,57786,Mission Blvd:Blanche St,,  37.6151260,-122.0300047,,,0,
0803360,57553,Mission Blvd:Blanche St,,  37.6142799,-122.0294900,,,0,
0803380,59330,Mission Blvd:Calhoun St,,  37.6422743,-122.0597489,,,0,
0803400,53593,Mission Blvd:Corrine St (Gresel St),,  37.6186453,-122.0340605,,,0,
0803410,53359,Mission Blvd:Fairway St,,  37.6226097,-122.0385814,,,0,
0803420,52776,Mission Blvd:Fairway St,,  37.6218560,-122.0381557,,,0,
0803440,56959,Mission Blvd:Garin Av,,  37.6275098,-122.0442443,,,0,
0803450,53200,Mission Blvd:Grace St,,  37.6749875,-122.0872452,,,0,
0803460,56345,Mission Blvd:Grace St,,  37.6749088,-122.0874485,,,0,
0803470,59598,Mission Blvd:Gresel St,,  37.6183071,-122.0340885,,,0,
0803490,58760,Mission Blvd:Hancock St,,  37.6388797,-122.0572620,,,0,
0803500,59009,Mission Blvd:Harder Rd,,  37.6517715,-122.0672807,,,0,
0803520,53443,Mission Blvd:Highland Blvd,,  37.6639475,-122.0766588,,,0,
0803530,52188,Mission Blvd:Jackson St,,  37.6682400,-122.0806090,,,0,
0803540,51799,Mission Blvd:Jefferson St,,  37.6425117,-122.0602967,,,0,
0803560,56536,Mission Blvd:Pinedale Ct,,  37.6655639,-122.0783488,,,0,
0803580,54994,Mission Blvd:Sorenson Rd,,  37.6461244,-122.0631309,,,0,
