stop_id,stop_name,stop_lat,stop_lon,stop_desc
NATIO1,National Geophysical Research Institute (NGRI),17.41491,78.54645,"Habsiguda Main Road, NGRI, Habsiguda, Hyderabad"
NATIO2,National Geophysical Research Institue,17.41475,78.54613,
NCL001,NCL,17.52593,78.4844,
NCL002,NCL,17.5254,78.48436,
NCLBA1,NCL Balaji Hospital,17.5186,78.48152,
NCLBA2,NCL Balaji Hospital,17.5185,78.48192,
NEWBO1,New Bowenpally,17.46296,78.4721,
NEWBO2,New Bowenpally Bus Stop,17.46522,78.47266,
NEWBO3,New Bowenpally Bus Stop,17.46516,78.47289,
NIMS01,Nims,17.42313,78.45466,
NIMSB1,NIMS Bus Stop,17.42285,78.4547,
NIMSN1,NIMS New Gate,17.42181,78.44906,
NINWA1,NIN/Water Tank,17.43125,78.52477,
NIPER1,Niper,17.46962,78.43873,
NIZAM1,Nizampet Bus Stop,17.49904,78.38672,
NIZAM2,Nizam College Bus Stop,17.39776,78.47527,
NIZAM3,Nizampet Road Bus Stop,17.49837,78.38941,
NIZAM4,Nizampet Road,17.49788,78.39187,
NIZAM5,Nizampet,17.49856,78.39106,
NIZAM6,Nizampet,17.49861,78.39051,
NMDCB1,NMDC Bus Stop,17.39898,78.44949,
NMDCB2,NMDC Bus Stop,17.39874,78.44921,
NORTH1,North Kamala Nagar,17.47566,78.56793,
NORTH2,North Kamala Nagar,17.47563,78.56782,
NRMCO1,NRM College,17.45574,78.56583,
NRMCO2,NRM College,17.45573,78.56578,
OSMAN1,Osmania University (Campus),17.41904,78.52742,
OSMAN2,Osmania University (Campus),17.4193,78.52721,
PANJA1,Panjagutta Colony Bus Stop,17.42873,78.4508,
PANJA2,Panjagutta Colony Bus Stop,17.4294,78.45069,
PANJA3,Panjagutta Colony Bus Stop,17.42878,78.45101,
PANJA4,Panjagutta Colony,17.42875,78.45082,panjagutta colony towards ameerpet
PARAD1,Paradise,17.44393,78.48733,
PARAD2,Paradise,17.44397,78.48756,
PARAD3,Paradise,17.44145,78.49102,
PARAD4,Paradise Bus Stop,17.44179,78.48786,
PATAN1,Patancheru,17.52646,78.26933,
PATAN2,Patancheru Bus Station,17.52881,78.26408,
PATAN3,Patancheru Market Road,17.53009,78.261,
PATAN4,Patancheru Bus Terminal,17.52881,78.26408,
PATAN5,Patancheru,17.52965,78.26281,
PATAN6,Patancheru,17.52849,78.26405,
PATAN7,Patancheru Bus Station,17.52874,78.26414,
PATNY1,Patny Center,17.44038,78.49581,
PATNY2,Patny,17.4429,78.496,
PATNY3,Patny Center,17.4402,78.49522,
PEERJ1,Peerjadiguda Kaman,17.402,78.58198,
PEERJ2,Peerjadiguda Kaman,17.40139,78.582,
PENSI1,Pension Office Bus Stop,17.40739,78.45108,
POCHA1,Pochampally,17.59132,78.41829,
POCHA2,Pochampally,17.59111,78.4181,
POTTI1,Potti Sriramulu Nagar Bus Stop,17.40229,78.45222,
PRAKA1,Prakash Nagar,17.44442,78.47177,
PRASH1,Prashanth Nagar,17.47345,78.42677,
PRATA1,Pratap Colony,17.45171,78.48628,
PREMN1,Prem Nagar,17.45885,78.43255,
PREMN2,Prem Nagar,17.45913,78.43276,
PREST1,Prestige,17.57826,78.49109,
PREST2,Prestige,17.5782,78.49143,
PRIYA1,Priyadarshini Hotel Bus Stop,17.47601,78.4737,
PRIYA2,Priyadarshini Hotel Bus Stop,17.47585,78.47394,
PUBLI1,Public Gardens Bus Stop,17.39658,78.47087,
PUBLI2,Public Gardens,17.39643,78.47094,public  gardens to words lakadi kapool|public gardens  towards patancheru
PUNJA1,Punjagutta Bus Stop,17.4291,78.45053,
PUNJA2,Punjagutta Bus Stop,17.42938,78.45079,
PUTLI1,Putlibowli,17.38143,78.48302,
PUTLI2,Putlibowli,17.38168,78.48263,
RADHI1,Radhika X Road,17.47767,78.56354,
RADHI2,Radhika Theatre,17.47725,78.56353,
RAILW1,Railway Degree College,17.42789,78.52898,
RAILW2,Railway Station Gate,17.51644,78.28136,
RAILW3,Railway Station Gate,17.51497,78.28421,
RAILW4,Railway Station Gate,17.51482,78.28439,
RAJUC1,Raju Colony,17.46436,78.45149,
RAJUC2,Raju Colony,17.46375,78.45256,
RAMAC1,Ramachadrapuram Park,17.51424,78.28421,
RAMDE1,Ramdev Guda,17.37538,78.39606,ramdev guda1
RAMDE2,Ramdevguda,17.37524,78.39594,ramdev guda1
RAMKO1,Ram Koti,17.39005,78.48536,
RAMNA1,Ramnagar Gundu,17.40786,78.51355,
RATHI1,Rathi File Secunderabad,17.43497,78.50459,
RATHI2,Rathifile Bus Station,17.43471,78.50484,
RAVIN1,Ravindra Bharati,17.40343,78.46768,
RCPUR1,R.C. Puram,17.51352,78.28819,
RCPUR2,RC Puram,17.51379,78.28837,
RCPUR3,RC Puram,17.51424,78.28421,towards lig
RETHI1,Rethi Bowli,17.39552,78.43336,rethibowli to wards mp
RETHI2,Rethi Bowli,17.39566,78.4307,rethibowli to wards mp
ROADN1,Road No 1 Bus Stop,17.4136,78.45045,
RPFTR1,RPF Training Centre,17.44823,78.55076,
RUDRA1,Rudraram X Road,17.56408,78.16514,
RYTHU1,Rythu Bazar Erragadda,17.45242,78.43579,
RYTHU2,Rythu Bazar Erragadda,17.4513,78.43611,
RYTHU3,Rythu Bazzar,17.51766,78.44681,
SAIBA1,Saibad X Road,17.53646,78.43476,
SAIBA2,Saibaba Nagar Bus Station,17.53599,78.43467,
SAIFA1,Saifabad,17.40543,78.46434,
