route_id,service_id,direction_id,trip_id
218D,ALL,0,218D_0914_0
218D,ALL,0,218D_0915_0
218D,ALL,0,218D_0917_0
218D,ALL,0,218D_0920_0
218D,ALL,0,218D_0922_0
218D,ALL,0,218D_0925_0
218D,ALL,0,218D_0929_0
218D,ALL,0,218D_0930_0
218D,ALL,0,218D_0935_0
218D,ALL,0,218D_0940_0
218D,ALL,0,218D_0941_0
218D,ALL,0,218D_0942_0
218D,ALL,0,218D_0945_0
218D,ALL,0,218D_0947_0
218D,ALL,0,218D_0949_0
218D,ALL,0,218D_0950_0
218D,ALL,0,218D_0953_0
218D,ALL,0,218D_0956_0
218D,ALL,0,218D_1000_0
218D,ALL,0,218D_1001_0
218D,ALL,0,218D_1003_0
218D,ALL,0,218D_1005_0
218D,ALL,0,218D_1010_0
218D,ALL,0,218D_1011_0
218D,ALL,0,218D_1013_0
218D,ALL,0,218D_1015_0
218D,ALL,0,218D_1017_0
218D,ALL,0,218D_1024_0
218D,ALL,0,218D_1025_0
218D,ALL,0,218D_1029_0
218D,ALL,0,218D_1030_0
218D,ALL,0,218D_1032_0
218D,ALL,0,218D_1035_0
218D,ALL,0,218D_1036_0
218D,ALL,0,218D_1037_0
218D,ALL,0,218D_1040_0
218D,ALL,0,218D_1041_0
218D,ALL,0,218D_1045_0
218D,ALL,0,218D_1048_0
218D,ALL,0,218D_1050_0
218D,ALL,0,218D_1053_0
218D,ALL,0,218D_1055_0
218D,ALL,0,218D_1100_0
218D,ALL,0,218D_1103_0
218D,ALL,0,218D_1105_0
218D,ALL,0,218D_1110_0
218D,ALL,0,218D_1112_0
218D,ALL,0,218D_1115_0
218D,ALL,0,218D_1120_0
218D,ALL,0,218D_1124_0
218D,ALL,0,218D_1125_0
218D,ALL,0,218D_1128_0
218D,ALL,0,218D_1130_0
218D,ALL,0,218D_1132_0
218D,ALL,0,218D_1135_0
218D,ALL,0,218D_1136_0
218D,ALL,0,218D_1140_0
218D,ALL,0,218D_1145_0
218D,ALL,0,218D_1148_0
218D,ALL,0,218D_1150_0
218D,ALL,0,218D_1151_0
218D,ALL,0,218D_1153_0
218D,ALL,0,218D_1200_0
218D,ALL,0,218D_1205_0
218D,ALL,0,218D_1210_0
218D,ALL,0,218D_1215_0
218D,ALL,0,218D_1219_0
218D,ALL,0,218D_1220_0
218D,ALL,0,218D_1225_0
218D,ALL,0,218D_1230_0
218D,ALL,0,218D_1233_0
218D,ALL,0,218D_1235_0
218D,ALL,0,218D_1237_0
218D,ALL,0,218D_1245_0
218D,ALL,0,218D_1249_0
218D,ALL,0,218D_1250_0
218D,ALL,0,218D_1255_0
218D,ALL,0,218D_1257_0
218D,ALL,0,218D_1300_0
218D,ALL,0,218D_1301_0
218D,ALL,0,218D_1305_0
218D,ALL,0,218D_1306_0
218D,ALL,0,218D_1308_0
218D,ALL,0,218D_1310_0
218D,ALL,0,218D_1312_0
218D,ALL,0,218D_1313_0
218D,ALL,0,218D_1320_0
218D,ALL,0,218D_1322_0
218D,ALL,0,218D_1325_0
218D,ALL,0,218D_1330_0
218D,ALL,0,218D_1334_0
218D,ALL,0,218D_1345_0
218D,ALL,0,218D_1346_0
218D,ALL,0,218D_1358_0
218D,ALL,0,218D_1400_0
218D,ALL,0,218D_1410_0
218D,ALL,0,218D_1412_0
218D,ALL,0,218D_1418_0
218D,ALL,0,218D_1420_0
218D,ALL,0,218D_1422_0
218D,ALL,0,218D_1424_0
218D,ALL,0,218D_1425_0
218D,ALL,0,218D_1427_0
218D,ALL,0,218D_1430_0
218D,ALL,0,218D_1432_0
218D,ALL,0,218D_1434_0
218D,ALL,0,218D_1435_0
218D,ALL,0,218D_1440_0
218D,ALL,0,218D_1445_0
218D,ALL,0,218D_1446_0
218D,ALL,0,218D_1448_0
218D,ALL,0,218D_1450_0
218D,ALL,0,218D_1455_0
218D,ALL,0,218D_1458_0
218D,ALL,0,218D_1500_0
218D,ALL,0,218D_1501_0
218D,ALL,0,218D_1505_0
218D,ALL,0,218D_1510_0
218D,ALL,0,218D_1513_0
218D,ALL,0,218D_1515_0
218D,ALL,0,218D_1520_0
218D,ALL,0,218D_1524_0
218D,ALL,0,218D_1525_0
218D,ALL,0,218D_1530_0
218D,ALL,0,218D_1534_0
218D,ALL,0,218D_1535_0
218D,ALL,0,218D_1537_0
218D,ALL,0,218D_1540_0
218D,ALL,0,218D_1544_0
218D,ALL,0,218D_1545_0
218D,ALL,0,218D_1548_0
218D,ALL,0,218D_1550_0
218D,ALL,0,218D_1555_0
218D,ALL,0,218D_1600_0
218D,ALL,0,218D_1601_0
218D,ALL,0,218D_1602_0
218D,ALL,0,218D_1603_0
218D,ALL,0,218D_1605_0
218D,ALL,0,218D_1610_0
218D,ALL,0,218D_1615_0
218D,ALL,0,218D_1616_0
218D,ALL,0,218D_1620_0
218D,ALL,0,218D_1625_0
218D,ALL,0,218D_1628_0
218D,ALL,0,218D_1630_0
218D,ALL,0,218D_1635_0
218D,ALL,0,218D_1637_0
218D,ALL,0,218D_1640_0
218D,ALL,0,218D_1643_0
218D,ALL,0,218D_1650_0
218D,ALL,0,218D_1652_0
218D,ALL,0,218D_1655_0
218D,ALL,0,218D_1700_0
218D,ALL,0,218D_1701_0
218D,ALL,0,218D_1704_0
218D,ALL,0,218D_1710_0
218D,ALL,0,218D_1715_0
218D,ALL,0,218D_1716_0
218D,ALL,0,218D_1720_0
218D,ALL,0,218D_1721_0
218D,ALL,0,218D_1724_0
218D,ALL,0,218D_1725_0
218D,ALL,0,218D_1727_0
218D,ALL,0,218D_1728_0
218D,ALL,0,218D_1730_0
218D,ALL,0,218D_1731_0
218D,ALL,0,218D_1736_0
218D,ALL,0,218D_1738_0
218D,ALL,0,218D_1740_0
218D,ALL,0,218D_1745_0
218D,ALL,0,218D_1748_0
218D,ALL,0,218D_1750_0
218D,ALL,0,218D_1752_0
218D,ALL,0,218D_1755_0
218D,ALL,0,218D_1759_0
218D,ALL,0,218D_1800_0
218D,ALL,0,218D_1804_0
218D,ALL,0,218D_1805_0
218D,ALL,0,218D_1806_0
218D,ALL,0,218D_1810_0
218D,ALL,0,218D_1812_0
218D,ALL,0,218D_1813_0
218D,ALL,0,218D_1815_0
218D,ALL,0,218D_1816_0
218D,ALL,0,218D_1820_0
218D,ALL,0,218D_1824_0
218D,ALL,0,218D_1825_0
218D,ALL,0,218D_1828_0
218D,ALL,0,218D_1830_0
218D,ALL,0,218D_1835_0
218D,ALL,0,218D_1840_0
218D,ALL,0,218D_1843_0
218D,ALL,0,218D_1845_0
218D,ALL,0,218D_1848_0
218D,ALL,0,218D_1850_0
218D,ALL,0,218D_1855_0
218D,ALL,0,218D_1900_0
218D,ALL,0,218D_1905_0
218D,ALL,0,218D_1910_0
218D,ALL,0,218D_1913_0
218D,ALL,0,218D_1915_0
218D,ALL,0,218D_1920_0
218D,ALL,0,218D_1925_0
218D,ALL,0,218D_1933_0
218D,ALL,0,218D_1935_0
218D,ALL,0,218D_1945_0
218D,ALL,0,218D_1950_0
218D,ALL,0,218D_1958_0
218D,ALL,0,218D_2005_0
218D,ALL,0,218D_2010_0
218D,ALL,0,218D_2015_0
218D,ALL,0,218D_2023_0
218D,ALL,0,218D_2025_0
218D,ALL,0,218D_2035_0
218D,ALL,0,218D_2045_0
218D,ALL,0,218D_2055_0
218D,ALL,0,218D_2105_0
218D,ALL,0,218D_2125_0
218D,ALL,0,218D_2245_0
218D,ALL,0,218D_2501_0
218D,ALL,1,218D_0557_1
218D,ALL,1,218D_0611_1
218D,ALL,1,218D_0625_1
218D,ALL,1,218D_0639_1
218D,ALL,1,218D_0653_1
218D,ALL,1,218D_0715_1
218D,ALL,1,218D_0848_1
