route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
R001,WK,R001WKL190939,Aluva,1,2,R001_1,1
R001,WK,R001WKR194438,Maharaja College,0,2,R001_0,1
R001,WK,R001WKL201939,Aluva,1,2,R001_1,1
R001,WK,R001WKR205908,Maharaja College,0,2,R001_0,1
R001,WK,R001WKL213419,Aluva,1,2,R001_1,1
R001,WK,R001WKR073240,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL080727,Aluva,1,5,R001_1,1
R001,WK,R001WKR083844,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL091457,Aluva,1,5,R001_1,1
R001,WK,R001WKR094956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL102457,Aluva,1,5,R001_1,1
R001,WK,R001WKR105956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL113457,Aluva,1,5,R001_1,1
R001,WK,R001WKR120956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL124457,Aluva,1,5,R001_1,1
R001,WK,R001WKR131956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL135457,Aluva,1,5,R001_1,1
R001,WK,R001WKR142956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL150457,Aluva,1,5,R001_1,1
R001,WK,R001WKR153956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL161457,Aluva,1,5,R001_1,1
R001,WK,R001WKR164956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL172457,Aluva,1,5,R001_1,1
R001,WK,R001WKR175956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL183457,Aluva,1,5,R001_1,1
R001,WK,R001WKR190956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL194457,Aluva,1,5,R001_1,1
R001,WK,R001WKR201956,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL205443,Aluva,1,5,R001_1,1
R001,WK,R001WKR212701,Maharaja College,0,5,R001_0,1
R001,WK,R001WKL215649,Aluva,1,5,R001_1,1
R001,WK,R001WKR075240,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL082727,Aluva,1,6,R001_1,1
R001,WK,R001WKR090539,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL094112,Aluva,1,6,R001_1,1
R001,WK,R001WKR101611,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL105112,Aluva,1,6,R001_1,1
R001,WK,R001WKR112611,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL120112,Aluva,1,6,R001_1,1
R001,WK,R001WKR123611,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL131112,Aluva,1,6,R001_1,1
R001,WK,R001WKR134611,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL142112,Aluva,1,6,R001_1,1
R001,WK,R001WKR145611,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL153112,Aluva,1,6,R001_1,1
R001,WK,R001WKR160611,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL164112,Aluva,1,6,R001_1,1
R001,WK,R001WKR171611,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL175112,Aluva,1,6,R001_1,1
R001,WK,R001WKR182611,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL190112,Aluva,1,6,R001_1,1
R001,WK,R001WKR193611,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL201112,Aluva,1,6,R001_1,1
R001,WK,R001WKR204526,Maharaja College,0,6,R001_0,1
R001,WK,R001WKL212037,Aluva,1,6,R001_1,1
R001,WK,R001WKR215607,Maharaja College,0,6,R001_0,1
R001,WK,R001WKR081202,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL084727,Aluva,1,7,R001_1,1
R001,WK,R001WKR092336,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL095842,Aluva,1,7,R001_1,1
R001,WK,R001WKR103341,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL110842,Aluva,1,7,R001_1,1
R001,WK,R001WKR114341,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL121842,Aluva,1,7,R001_1,1
R001,WK,R001WKR125341,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL132842,Aluva,1,7,R001_1,1
R001,WK,R001WKR140341,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL143842,Aluva,1,7,R001_1,1
R001,WK,R001WKR151341,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL154842,Aluva,1,7,R001_1,1
R001,WK,R001WKR162341,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL165842,Aluva,1,7,R001_1,1
R001,WK,R001WKR173341,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL180842,Aluva,1,7,R001_1,1
R001,WK,R001WKR184341,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL191842,Aluva,1,7,R001_1,1
R001,WK,R001WKR195533,Maharaja College,0,7,R001_0,1
R001,WK,R001WKL203137,Aluva,1,7,R001_1,1
R001,WK,R001WKR084855,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL092342,Aluva,1,8,R001_1,1
R001,WK,R001WKR095841,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL103342,Aluva,1,8,R001_1,1
R001,WK,R001WKR110841,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL114342,Aluva,1,8,R001_1,1
R001,WK,R001WKR121841,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL125342,Aluva,1,8,R001_1,1
R001,WK,R001WKR132841,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL140342,Aluva,1,8,R001_1,1
R001,WK,R001WKR143841,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL151342,Aluva,1,8,R001_1,1
R001,WK,R001WKR154841,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL162342,Aluva,1,8,R001_1,1
R001,WK,R001WKR165841,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL173342,Aluva,1,8,R001_1,1
R001,WK,R001WKR180841,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL184342,Aluva,1,8,R001_1,1
R001,WK,R001WKR191841,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL195342,Aluva,1,8,R001_1,1
R001,WK,R001WKR203111,Maharaja College,0,8,R001_0,1
R001,WK,R001WKL210637,Aluva,1,8,R001_1,1
R001,WK,R001WKR214136,Maharaja College,0,8,R001_0,1
R001,SU,R001SUR075636,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL083147,Aluva,1,4,R001_1,1
R001,SU,R001SUR090646,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL094147,Aluva,1,4,R001_1,1
R001,SU,R001SUR102155,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL105727,Aluva,1,4,R001_1,1
R001,SU,R001SUR113226,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL120727,Aluva,1,4,R001_1,1
R001,SU,R001SUR124226,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL131727,Aluva,1,4,R001_1,1
R001,SU,R001SUR135226,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL142727,Aluva,1,4,R001_1,1
R001,SU,R001SUR150226,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL153727,Aluva,1,4,R001_1,1
R001,SU,R001SUR161226,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL164727,Aluva,1,4,R001_1,1
R001,SU,R001SUR172226,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL175727,Aluva,1,4,R001_1,1
R001,SU,R001SUR183226,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL190727,Aluva,1,4,R001_1,1
R001,SU,R001SUR194418,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL201939,Aluva,1,4,R001_1,1
R001,SU,R001SUR205908,Maharaja College,0,4,R001_0,1
R001,SU,R001SUL213419,Aluva,1,4,R001_1,1
R001,SU,R001SUL075639,Aluva,1,3,R001_1,1
R001,SU,R001SUR083145,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL090646,Aluva,1,3,R001_1,1
R001,SU,R001SUR094216,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL101726,Aluva,1,3,R001_1,1
R001,SU,R001SUR105655,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL113226,Aluva,1,3,R001_1,1
R001,SU,R001SUR120725,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL124226,Aluva,1,3,R001_1,1
R001,SU,R001SUR131725,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL135226,Aluva,1,3,R001_1,1
R001,SU,R001SUR142725,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL150226,Aluva,1,3,R001_1,1
R001,SU,R001SUR153725,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL161226,Aluva,1,3,R001_1,1
R001,SU,R001SUR164725,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL172226,Aluva,1,3,R001_1,1
